country,happiness_2019,happiness_2025,d_happiness,gdp_2019,gdp_2025,d_gdp,social_2019,social_2025,d_social,health_2019,health_2025,d_health,freedom_2019,freedom_2025,d_freedom,generosity_2019,generosity_2025,d_generosity,corruption_2019,corruption_2025,d_corruption,unexplained_2019,unexplained_2025,d_unexplained,d_measured_sum
United Arab Emirates,6.79080009460449,6.821,0.03019990539550932,1.43108642101288,1.98,0.54891357898712,1.25117099285126,1.096,-0.1551709928512599,0.787814438343048,0.71,-0.07781443834304802,0.652936100959778,1.071,0.4180638990402219,0.280655980110168,0.149,-0.13165598011016802,0.220213517546654,0.228,0.007786482453346011,2.1669659614563,1.587,-0.5799659614563002,0.610122549176212
Malta,6.77279996871948,6.436,-0.3367999687194798,1.2525132894516,1.942,0.6894867105483999,1.44295692443848,1.532,0.08904307556152014,0.97204202413559,0.948,-0.02404202413559009,0.633239030838013,0.977,0.34376096916198695,0.341180831193924,0.183,-0.158180831193924,0.178864076733589,0.12,-0.05886407673358901,1.95201206207275,0.735,-1.21701206207275,0.881203823208804
France,6.66379976272583,6.586,-0.07779976272582978,1.26812934875488,1.907,0.6388706512451201,1.45883917808533,1.435,-0.02383917808532998,1.02971422672272,0.95,-0.07971422672272,0.514050900936127,0.83,0.3159490990638729,0.112607702612877,0.09,-0.022607702612877006,0.227303236722946,0.24,0.01269676327705399,2.05319833755493,1.133,-0.9201983375549299,0.8413554061651201
Mexico,6.46500015258789,6.972,0.5069998474121107,1.02438747882843,1.636,0.61161252117157,1.22633349895477,1.366,0.13966650104523004,0.831601023674011,0.631,-0.200601023674011,0.553892552852631,1.015,0.46110744714736895,0.083094485104084,0.056,-0.027094485104084,0.0831336677074432,0.128,0.04486633229255681,2.66254019737244,2.141,-0.5215401973724401,1.0295572928786307
Taiwan Province of China,6.45539999008179,6.714,0.25860000991821064,1.32747054100037,1.959,0.6315294589996301,1.3577606678009,1.446,0.08823933219909996,0.878437995910645,0.933,0.054562004089355076,0.449404388666153,0.879,0.429595611333847,0.150598704814911,0.107,-0.043598704814911,0.131516352295876,0.179,0.047483647704124,2.16023874282837,1.211,-0.94923874282837,1.2078113495111453
Uruguay,6.44010019302368,6.635,0.19489980697631992,1.07100045681,1.748,0.67699954319,1.42508113384247,1.54,0.11491886615753,0.856928884983063,0.525,-0.33192888498306294,0.594267070293427,1.054,0.4597329297065731,0.132143691182137,0.07,-0.062143691182137,0.193425074219704,0.194,0.0005749257802959984,2.16727638244629,1.505,-0.6622763824462901,0.8581536886691992
Saudi Arabia,6.4064998626709,6.817,0.41050013732909996,1.33432853221893,1.949,0.6146714677810701,1.30995011329651,1.412,0.10204988670349002,0.759818136692047,0.831,0.07118186330795295,0.548477470874786,1.042,0.493522529125214,0.0874406844377518,0.096,0.008559315562248204,0.163322314620018,0.196,0.032677685379982,2.20311880111694,1.291,-0.9121188011169399,1.322662747859957
Spain,6.40089988708496,6.54,0.13910011291504,1.23053526878357,1.871,0.64046473121643,1.4210991859436,1.552,0.13090081405640008,1.05134308338165,1.036,-0.015343083381649913,0.425983816385269,0.857,0.431016183614731,0.165305480360985,0.112,-0.053305480360984994,0.109579779207706,0.167,0.057420220792294016,1.99708843231201,0.946,-1.05108843231201,1.1911533859372203
Guatemala,6.39890003204346,6.533,0.13409996795654067,0.753815710544586,1.472,0.718184289455414,1.17426705360413,1.175,0.000732946395870071,0.7059525847435,0.38,-0.3259525847435,0.613146722316742,1.034,0.420853277683258,0.170611664652824,0.076,-0.09461166465282402,0.0983603000640869,0.094,-0.0043603000640869,2.88272309303284,2.304,-0.5787230930328402,0.7148459640741311
Italy,6.38740015029907,6.574,0.18659984970093024,1.23639607429504,1.899,0.6626039257049601,1.34729599952698,1.405,0.057704000473020045,1.02250492572784,0.975,-0.04750492572784004,0.321305572986603,0.746,0.424694427013397,0.170266211032867,0.075,-0.09526621103286699,0.0401455983519554,0.067,0.026854401648044604,2.2495059967041,1.407,-0.8425059967040998,1.0290856180787147
Singapore,6.37709999084473,6.585,0.20790000915526985,1.51958012580872,2.167,0.6474198741912798,1.39545691013336,1.471,0.07554308986664005,1.13781428337097,1.059,-0.07881428337096996,0.635317206382751,0.98,0.34468279361724896,0.218770906329155,0.145,-0.073770906329155,0.533162236213684,0.512,-0.02116223621368396,0.937031745910645,0.252,-0.685031745910645,0.8938983317613599
Brazil,6.37559986114502,6.634,0.2584001388549799,0.952679872512817,1.602,0.649320127487183,1.36346411705017,1.396,0.0325358829498299,0.766119062900543,0.508,-0.258119062900543,0.483292728662491,0.964,0.48070727133750896,0.131674587726593,0.081,-0.05067458772659299,0.106518603861332,0.122,0.015481396138668002,2.57186031341553,1.96,-0.61186031341553,0.8692510272860541
Slovenia,6.36339998245239,6.868,0.5046000175476104,1.20865249633789,1.872,0.6633475036621101,1.46467769145966,1.594,0.1293223085403401,0.932548046112061,0.913,-0.019548046112060957,0.646700143814087,1.097,0.45029985618591295,0.145701497793198,0.108,-0.037701497793197994,0.0765163227915764,0.108,0.0314836772084236,1.88858652114868,1.177,-0.71158652114868,1.2172038016915279
El Salvador,6.34829998016357,6.578,0.2297000198364305,0.748940408229828,1.448,0.699059591770172,1.14939761161804,1.086,-0.06339761161803992,0.752730011940002,0.633,-0.11973001194000199,0.524043917655945,1.089,0.5649560823440549,0.11893630027771,0.047,-0.07193630027771,0.11703035235405,0.289,0.17196964764594996,2.93719172477722,1.987,-0.9501917247772198,1.1809213979244249
Kosovo,6.32520008087158,6.91,0.5847999191284199,0.840481340885162,1.535,0.6945186591148379,1.18396282196045,1.293,0.10903717803954982,0.672709167003632,0.907,0.234290832996368,0.557280421257019,1.045,0.4877195787429809,0.325286865234375,0.186,-0.139286865234375,0.00855902396142483,0.082,0.07344097603857518,2.73690271377563,1.86,-0.8769027137756298,1.459720359697937
Panama,6.30480003356934,6.547,0.24219996643065933,1.09766781330109,1.787,0.6893321866989099,1.37614929676056,1.479,0.10285070323944012,0.878546535968781,0.818,-0.06054653596878101,0.579849779605865,0.975,0.39515022039413494,0.0972073078155518,0.039,-0.0582073078155518,0.0542305260896683,0.042,-0.012230526089668299,2.22117614746094,1.407,-0.8141761474609401,1.056348740458484
Slovakia,6.28060007095337,6.255,-0.025600070953370135,1.19483768939972,1.815,0.62016231060028,1.4243311882019,1.63,0.20566881179809982,0.853465259075165,0.564,-0.28946525907516507,0.423542529344559,0.847,0.423457470655441,0.116729773581028,0.056,-0.060729773581028,0.0112914405763149,0.065,0.053708559423685104,2.25642204284668,1.278,-0.9784220428466801,0.9528021198213128
Uzbekistan,6.25759983062744,6.283,0.025400169372560732,0.696652948856354,1.415,0.718347051143646,1.43402004241943,1.527,0.09297995758056987,0.716703712940216,0.771,0.054296287059784065,0.693270325660706,1.085,0.39172967433929395,0.363311022520065,0.173,-0.190311022520065,0.280260264873505,0.196,-0.08426026487350502,2.07334661483765,1.116,-0.9573466148376499,0.9827816827297239
Chile,6.22849988937378,6.302,0.07350011062621942,1.09699249267578,1.73,0.6330075073242201,1.32328689098358,1.427,0.10371310901642006,0.889260828495026,0.792,-0.09726082849502593,0.417482227087021,0.926,0.5085177729129791,0.155579000711441,0.087,-0.06857900071144102,0.0628493502736092,0.087,0.02415064972639079,2.28301286697388,1.254,-1.02901286697388,1.103549209773543
Bahrain,6.22730016708374,6.254,0.026699832916259325,1.29669225215912,1.93,0.63330774784088,1.31532371044159,1.293,-0.022323710441590094,0.838836371898651,0.693,-0.14583637189865106,0.610399901866913,1.055,0.444600098133087,0.287453711032867,0.143,-0.144453711032867,0.12669725716114,0.171,0.044302742838860015,1.75191736221313,0.969,-0.7829173622131301,0.8095967954397189
Lithuania,6.21549987792969,6.704,0.4885001220703096,1.19355964660645,1.863,0.66944035339355,1.43286573886871,1.555,0.12213426113128989,0.795421183109283,0.653,-0.14242118310928298,0.420460790395737,0.891,0.470539209604263,0.0536910407245159,0.049,-0.004691040724515899,0.0813502743840218,0.113,0.0316497256159782,2.23814606666565,1.579,-0.6591460666656499,1.1466513259112823
Trinidad and Tobago,6.19189977645874,5.905,-0.28689977645874,1.16764152050018,1.748,0.58035847949982,1.40732622146606,1.413,0.0056737785339400215,0.658828556537628,0.49,-0.16882855653762796,0.552931129932404,0.884,0.331068870067596,0.199358254671097,0.109,-0.090358254671097,0.0150783956050873,0.0,-0.0150783956050873,2.19069576263428,1.262,-0.92869576263428,0.6428359212875437
